ILONDON637,Mostly Cloudy,24.6,26,mostlycloudy,--,1018,65%,--,10.0,18,-9999,North,0,1473252441
ILONDON630,Mostly Cloudy,25,26,mostlycloudy,--,1018,64%,--,10.0,18,-9999,North,0,1473252531
ILONDON469,Mostly Cloudy,30.9,33,mostlycloudy,--,1018,53%,--,10.0,20,-9999,North,0,1473252576
ILONDON939,Mostly Cloudy,28.3,29,mostlycloudy,0,1018,53%,--,10.0,18,-9999,North,0,1473252626
ILONDON578,Mostly Cloudy,24.1,24.1,mostlycloudy,0,1018,76%,--,10.0,20,0,North,1.9,1473252624
ILONDON300,Mostly Cloudy,25,26,mostlycloudy,0,1018,74%,--,10.0,20,-9999,North,0,1473252555
ILONDON745,Mostly Cloudy,24.3,24.3,mostlycloudy,0,1018,75%,--,10.0,20,-9999,North,0,1473252626
IENGLAND499,Mostly Cloudy,26.1,27,mostlycloudy,0,1018,58%,69,10.0,17,138,SE,16.7,1473252696
ILONDON465,Mostly Cloudy,30.4,34,mostlycloudy,--,1018,62%,--,10.0,22,-9999,North,0,1473252429
ILONDON849,Mostly Cloudy,26.5,27,mostlycloudy,--,1018,59%,--,10.0,18,-9999,North,0,1473252402
ILONDON1391,Mostly Cloudy,25.5,27,mostlycloudy,--,1018,67%,--,10.0,19,-9999,North,0,1473252327
ILONDON107,Mostly Cloudy,24.5,24.5,mostlycloudy,--,1018,72%,--,10.0,19,-9999,North,0,1473252384
ILONDON556,Mostly Cloudy,22.4,22.4,mostlycloudy,--,1018,85%,--,10.0,20,-9999,North,0,1473252632
IHACKNEY4,Mostly Cloudy,23.4,23.4,mostlycloudy,--,1018,79%,--,10.0,20,-9999,North,0,1473252644
ILONDON316,Mostly Cloudy,28.3,30,mostlycloudy,--,1018,60%,--,10.0,20,-9999,North,0,1473252586
ILONDON899,Mostly Cloudy,25.7,27,mostlycloudy,0,1018,82%,--,10.0,22,198,SSW,3.1,1473252654
ILONDON1256,Mostly Cloudy,25.9,27,mostlycloudy,--,1018,66%,--,10.0,19,-9999,North,0,1473252644
ILONDON1111,Mostly Cloudy,28.9,30,mostlycloudy,--,1018,56%,--,10.0,19,-9999,North,0,1473252654
ILONDON87,Mostly Cloudy,27.9,29,mostlycloudy,--,1017,60%,--,10.0,20,-9999,North,0,1473252327
ILONDON672,Mostly Cloudy,24.8,26,mostlycloudy,0,1017,69%,--,10.0,19,-9999,North,0,1473252639
ILONDON518,Mostly Cloudy,28,30,mostlycloudy,0,1017,61%,--,10.0,20,0,North,4.0,1473252655
ILONDON1120,Mostly Cloudy,28.1,30,mostlycloudy,0,1017,62%,--,10.0,20,-9999,North,0,1473252336
ILONDON126,Mostly Cloudy,38.6,38.6,mostlycloudy,--,1017,34%,--,10.0,20.4,-9999,North,0,1473252340
ILONDON1113,Mostly Cloudy,26,27,mostlycloudy,0,1017,53%,406,10.0,16,242,WSW,4.0,1473252940
ILONDON143,Mostly Cloudy,24.9,26,mostlycloudy,--,1017,71%,--,10.0,19,-9999,North,0,1473252397
ILONDON38,Mostly Cloudy,26.1,27,mostlycloudy,0,1017,63%,--,10.0,18,86,East,20.9,1473252465
ILONDONL22,Mostly Cloudy,26.5,28,mostlycloudy,0,1017,70%,--,10.0,21,90,East,6.1,1473252295
ILONDON1141,Mostly Cloudy,31,32,mostlycloudy,0,1017,49%,--,10.0,19,90,East,9.0,1473252520
